tweet,created_at,tokens
kang dedi mulyadi resident playbook x hospital playlist oh yiyoung pyo namkyung moment iksong btsnya cek yutub yaaww,Tue May 13 10:48:10 +0000 2025,"['kang', 'dedi', 'mulyadi', 'resident', 'playbook', 'x', 'hospital', 'playlist', 'oh', 'yiyoung', 'pyo', 'namkyung', 'moment', 'iksong', 'btsnya', 'cek', 'yutub', 'yaaww']"
kang dedi mulyadi cha eunwoo permisi kak,Sun May 18 02:42:14 +0000 2025,"['kang', 'dedi', 'mulyadi', 'cha', 'eunwoo', 'permisi', 'kak']"
kang dedi mulyadi go minsi drama mei the trauma the therapy,Thu May 15 13:02:58 +0000 2025,"['kang', 'dedi', 'mulyadi', 'go', 'minsi', 'drama', 'mei', 'the', 'trauma', 'the', 'therapy']"
boyoung jinyoung from bh ent post lucu banget berduaa ngga sabar lihat behind making drama seruuu kang dedi mulyadi our unwritten seoul,Wed May 21 10:48:13 +0000 2025,"['boyoung', 'jinyoung', 'from', 'bh', 'ent', 'post', 'lucu', 'banget', 'berduaa', 'ngga', 'sabar', 'lihat', 'behind', 'making', 'drama', 'seruuu', 'kang', 'dedi', 'mulyadi', 'our', 'unwritten', 'seoul']"
kang dedi mulyadi iklan iloom rilis guyss expect dipayunginnya pake meja,Thu May 15 03:17:28 +0000 2025,"['kang', 'dedi', 'mulyadi', 'iklan', 'iloom', 'rilis', 'guyss', 'expect', 'dipayunginnya', 'pake', 'meja']"
kang dedi mulyadi cewek bumi,Sat May 17 08:20:39 +0000 2025,"['kang', 'dedi', 'mulyadi', 'cewek', 'bumi']"
kang dedi mulyadi the haunted palace ciyeee mas bibi ngliat neng kunti gitu curiga abis jadi,Sat May 17 12:55:38 +0000 2025,"['kang', 'dedi', 'mulyadi', 'the', 'haunted', 'palace', 'ciyeee', 'mas', 'bibi', 'ngliat', 'neng', 'kunti', 'gitu', 'curiga', 'abis', 'jadi']"
kang dedi mulyadi tastefully yours beomwoo yeonjoo pacar time jadi episode ya,Thu May 15 13:37:12 +0000 2025,"['kang', 'dedi', 'mulyadi', 'tastefully', 'yours', 'beomwoo', 'yeonjoo', 'pacar', 'time', 'jadi', 'episode', 'ya']"
kagum team lengkap channel youtube monetize lihat kang dedi mulyadi uang,Mon May 19 13:24:33 +0000 2025,"['kagum', 'team', 'lengkap', 'channel', 'youtube', 'monetize', 'lihat', 'kang', 'dedi', 'mulyadi', 'uang']"
rame standup komedian komika malang jawa timur sebut gubernur jawa barat kang dedi mulyadi kang dedi mulyadi mulyono sunda sama iket kepala sunda simbol budaya bandana,Mon May 12 14:23:42 +0000 2025,"['rame', 'standup', 'komedian', 'komika', 'malang', 'jawa', 'timur', 'sebut', 'gubernur', 'jawa', 'barat', 'kang', 'dedi', 'mulyadi', 'kang', 'dedi', 'mulyadi', 'mulyono', 'sunda', 'sama', 'iket', 'kepala', 'sunda', 'simbol', 'budaya', 'bandana']"
kang dedi mulyadi tastefully yours huwaa episode uda gobaek ajaa,Tue May 20 15:45:32 +0000 2025,"['kang', 'dedi', 'mulyadi', 'tastefully', 'yours', 'huwaa', 'episode', 'uda', 'gobaek', 'ajaa']"
kang dedi mulyadi main drama resident playbook reward vacation bal indonesia sukses drama congratulations,Thu May 15 07:39:14 +0000 2025,"['kang', 'dedi', 'mulyadi', 'main', 'drama', 'resident', 'playbook', 'reward', 'vacation', 'bal', 'indonesia', 'sukses', 'drama', 'congratulations']"
kang dedi mulyadi the haunted palace hayoooh salah fokus awal bang raja,Sat May 17 06:55:34 +0000 2025,"['kang', 'dedi', 'mulyadi', 'the', 'haunted', 'palace', 'hayoooh', 'salah', 'fokus', 'awal', 'bang', 'raja']"
